Date,CPI,Year,Month,Wage,CPI_Percentage,Wage_Percentage
2020-06-01,136.3,2020,6,30.03,0.8136094674556381,6.038135593220342
2020-07-01,136.4,2020,7,30.03,0.07336757153337807,6.038135593220342
2020-08-01,136.1,2020,8,30.03,-0.21994134897361534,6.038135593220342
2020-09-01,136,2020,9,30.03,-0.07347538574577099,6.038135593220342
2020-10-01,136.6,2020,10,30.03,0.4411764705882311,6.038135593220342
2020-11-01,136.8,2020,11,30.03,0.14641288433383387,6.038135593220342
2020-12-01,136.5,2020,12,30.03,-0.21929824561404335,6.038135593220342
2021-01-01,137.4,2021,1,30.67,0.6593406593406635,2.1312021312021328
2021-02-01,138.1,2021,2,30.67,0.5094614264919859,2.1312021312021328
2021-03-01,138.7,2021,3,30.67,0.43446777697320377,2.1312021312021328
2021-04-01,139.2,2021,4,30.67,0.36049026676279744,2.1312021312021328
2021-05-01,139.9,2021,5,30.67,0.5028735632184032,2.1312021312021328
2021-06-01,140.3,2021,6,30.67,0.2859185132237353,2.1312021312021328
2021-07-01,141.1,2021,7,30.67,0.570206699928712,2.1312021312021328
2021-08-01,141.5,2021,8,30.67,0.2834868887314002,2.1312021312021328
2021-09-01,141.8,2021,9,30.67,0.21201413427562643,2.1312021312021328
2021-10-01,142.8,2021,10,30.67,0.7052186177715091,2.1312021312021328
2021-11-01,143,2021,11,30.67,0.1400560224089556,2.1312021312021328
2021-12-01,142.9,2021,12,30.67,-0.06993006993006595,2.1312021312021328
2022-01-01,144.2,2022,1,31.96,0.9097270818754255,4.206064558200192
2022-02-01,145.6,2022,2,31.96,0.9708737864077711,4.206064558200192
2022-03-01,147.7,2022,3,31.96,1.4423076923076883,4.206064558200192
2022-04-01,148.6,2022,4,31.96,0.6093432633717033,4.206064558200192
2022-05-01,150.7,2022,5,31.96,1.413189771197843,4.206064558200192
2022-06-01,151.6,2022,6,31.96,0.5972130059721339,4.206064558200192
2022-07-01,151.9,2022,7,31.96,0.197889182058055,4.206064558200192
2022-08-01,151.3,2022,8,31.96,-0.39499670836075984,4.206064558200192
2022-09-01,151.4,2022,9,31.96,0.06609385327164197,4.206064558200192
2022-10-01,152.6,2022,10,31.96,0.792602377807126,4.206064558200192
2022-11-01,152.8,2022,11,31.96,0.1310615989515184,4.206064558200192
2022-12-01,151.8,2022,12,31.96,-0.6544502617801046,4.206064558200192
2023-01-01,152.7,2023,1,33.55,0.5928853754940561,4.974968710888599
2023-02-01,153.3,2023,2,33.55,0.39292730844795204,4.974968710888599
2023-03-01,154.1,2023,3,33.55,0.5218525766470861,4.974968710888599
2023-04-01,155,2023,4,33.55,0.58403634003893945,4.974968710888599
2023-05-01,155.6,2023,5,33.55,0.3870967741935447,4.974968710888599
2023-06-01,155.7,2023,6,33.55,0.06426735218508632,4.974968710888599
2023-07-01,156.6,2023,7,33.55,0.5780346820809286,4.974968710888599
2023-08-01,157.2,2023,8,33.55,0.3831417624521037,4.974968710888599
2023-09-01,157,2023,9,33.55,-0.12722646310431845,4.974968710888599
2023-10-01,157.2,2023,10,33.55,0.1273885350318399,4.974968710888599
2023-11-01,157.4,2023,11,33.55,0.12722646310433655,4.974968710888599
2023-12-01,156.8,2023,12,33.55,-0.3811944091486622,4.974968710888599
